Name,Product Category,Secondary Product Category,Issuer/Asset Category,Asset Sub-categories,Summary,Launch status,Custodial/Non-custodial,Private/public blockchain,Chain,"Project tokens (Utility, Stable)",Founded,Location,"Assets, regions",Stats,URL,Twitter,Discord,Date added
Arkive,Tokenization platform ,,Collectibles and Alternatives,Collectibles,"ARKIVE IS A DISTRIBUTED MUSEUM CURATED AND OWNED BY A GLOBAL COMMUNITY. We’re building the most expansive and representative collection of culturally significant art & artifacts. Arkive members propose works to the community, help place works globally, and build a museum collection from the bottom-up.",Live,?,?,?,,2021,,,,https://arkive.net/,https://twitter.com/arkive,-,15/10/2023
Artory,Tokenization platform ,,Collectibles and Alternatives,Collectibles,"Artory has verified, secured on blockchain, and tokenized over $1.5B worth art and collectibles. Artwork Tokenization: Artory secures trusted information from partner institutions to tokenize physical artworks and prepare them to be incorporated in traditional financial instruments, next-gen digital-first financial products, and other Web3 opportunities. Artwork Investment Opportunities: Artory has developed the tech, protocols, and regulatory frameworks needed to create institutional-grade investment opportunities in alternative assets, such as art and high-value collectibles. Our proven tokenization technology and certification processes allow us to create the first-ever certified digital token for physical artworks that transform artworks into actionable digital assets. Artory uses the latest technology to record data securely on the blockchain. Confidential data are stored safely off-chain, with attestations published to the blockchain.",Live,Custodial,Public,?,,2016,"US (NY), DE (Berlin), HK",,"$1.5 billion
Worth of Art Secured on Blockchain by Artory
$3 trillion
Worth of Art and Collectibles Wealth
44 million
Artwork & Collectibles Transactions in the Artory Price Database
37 years
of Artwork Transaction Data",https://www.artory.com/,https://twitter.com/artorycom,-,3/11/2023
Arttrade,Investment platform,Tokenization platform,Collectibles and Alternatives,Collectibles,German tokenized collectibles Investment Platform. Built on Cashlink,Closed beta,Custodial,?,?,,2021,DE (Düsseldorf),Germany,,https://www.arttrade.io,https://twitter.com/arttradeio,,15/9/2023
Assetera,Assets CEX,Tokenization platform,Equity and Stocks,"Public equities,Private debt",Assetera is specialized on secondary trading for digital securities and is reaching out to tokenization companies in order to bridge primary markets and secondary markets for all participants. Assetera's license is a European license and hence does not have a geographic limitation for token issuer nor for investors in the EU/EEA.,Live,"Custodial,Non-custodial",Public,ToroNet,,2018,DE,,,https://www.assetera.com,https://twitter.com/Assetera2,,15/9/2023
Atlasone.ca,Investment platform,Tokenization platform,- Asset-agnostic,"Private equities,Private funds","We are a digital securities company raising financing for private companies, and giving investors greater access to private market opportunities utilizing digital technology.",Live,Custodial,?,-,,2020,,,,https://www.atlasone.ca,https://twitter.com/atlasonedigital,,15/9/2023
Atlendis,Credit protocol (reputation-backed),,Financial Services and Payments,Receivables,Capital-efficient DeFi lending protocol that provides uncollateralized crypto loans to real world companies in emerging markets,Live,Non-custodial,Public,Polygon,,2021,,Emerging Markets,,https://www.atlendis.io,https://twitter.com/AtlendisLabs,,15/9/2023
Axalio,Tokenization platform ,,Commodities and Precious Metals,"Gold and silver,Energy commodities","Axalio, a pioneering force in the digital finance realm, specializes in the tokenization of real-world assets. Their mission revolves around making traditionally illiquid assets, such as gold, cobalt, and lithium, accessible to a broader range of investors. By leveraging blockchain technology, Axalio aims to open up new avenues for investment, wealth creation, and financial inclusion",In development,Custodial,?,?,,2016,,,,https://www.axalio.com/,https://twitter.com/axalio,-,15/11/2023
Backed,Investment platform,,Public Debt Instruments,"Government bonds (short-term / US),Corporate bonds (US),Public equities,ETF","Fully backed, tokenized real-world assets
Buy real-world assets on-chain and put your stablecoins to work.",Live,Non-custodial,Public,"Ethereum,Gnosis,Polygon,BNB,Base",,2021,CH (Zug),,https://dune.com/steakhouse/tokenized-securities,https://www.backed.fi,https://twitter.com/BackedFi,,15/9/2023
Bankex,Crowdinvesting,Tokenization platform,- Asset-agnostic,"Private debt,Private equities,Collectibles,IP,Real estate","Digital Asset Banking Platform. Get Max From Your Assets. 
Unlock liquidity",Sold,Custodial,?,?,,2015,,,"Acquired by TNC Group in 2020.
",https://bankex.com/,https://twitter.com/BANKEX,-,15/10/2023
Bankhaus Scheich,Bank working with tokenization,,- Asset-agnostic,-,"Bankhaus Scheich was founded in Frankfurt am Main in 1985 and is now one of the leading specialists on the Frankfurt Stock Exchange (FWB) and one of the first regulated institutions in the area of ​​digital assets. The owner-managed Bankhaus Scheich operates as a market maker in stocks, fixed-interest securities and digital assets.",Live,-,-,-,,2020,,,,https://www.bankhaus-scheich.de,-,-,15/9/2023
Bankorus,?,,?,?,"Bankorus is a blockchain banking platform for individuals and institutions, enabling you to buy, sell, store and lend digital assets simply and securely.",Dead,-,-,-,,2017,,,,https://www.bankorus.com,-,-,15/9/2023
Bitbond,Tokenization SaaS,,Equity and Stocks,Private equities,Tokenization infra that already supports hundreds of customers,Live,Non-custodial,Public,Multi-chain (9 chains),,2013,DE (Berlin),,,https://www.bitbond.com,https://twitter.com/Bitbond,,15/9/2023
Bitgo,Wallet,Custody,- Asset-agnostic,- Asset-agnostic,"Institutional wallet upgrade with INX, in which it enables user segmentation and permissioning across viewers, spenders, approvers, and administrators. 
https://www.prnewswire.com/news-releases/inx-collaborates-with-bitgo-to-introduce-institutional-grade-wallet-management-solution-for-digital-securities-301814976.html.",Live,Custodial,?,?,,2013,,,,https://bitgo.com/,https://twitter.com/BitGo,-,15/10/2023
Bitgreen,Tokenization platform ,,Sustainable and Responsible Investments,"Carbon credits,Energy commodities,ESG","Bitgreen is a layer-1 Polkadot parachain that combines blockchain technology and green innovation to drive capital into critically important sustainability initiatives: Commodity Markets, Debt Markets, Philanthropy. Bitgreen’s vision is to raise $1 Trillion for sustainability projects in 10 years. Blockchain and sustainability are 2 of the most interesting and dominant macro themes of the next decade. Bitgreen wants to converge the two and sit at the intersection. 
",Live,Non-custodial,Public,Polkadot Parachain,,2021,,,,https://bitgreen.org/,https://twitter.com/bitgreen_,https://discord.com/invite/ecYcdbyMar,3/12/2023
BlackManta,Tokenization agency,,- Asset-agnostic,-,"Agency for all legal, financial and technical aspects of tokenization",Live,-,-,Multi-chain,,2018,DE (Munich),,,https://www.blackmanta.capital,https://twitter.com/BlackMantaCap,,15/9/2023
Blockapps,Investment platform,Tokenization platform,- Asset-agnostic,"Carbon credits,Collectibles,Gold and silver,Other precious metals","3 marketplaces:

* Strato Mercata Clothing: innovative marketplace tokenising & trading exclusive clothing and coveted sneakers
* Mercata Materials: unified platform for buying and selling base metals and precious metals
* https://mercatacarbon.com/",Live,Custodial,?,?,,2015,US (NY),,,https://blockapps.net/,https://twitter.com/blockapps,https://discord.com/invite/65akjgyyUQ,21/11/2023
BlockEx,Assets CEX,,Equity and Stocks,Private equities,-,Dead,-,-,-,,,,,,https://www.blockex.com,-,-,15/9/2023
Blockhouse,Assets CEX,,Private Debt Instruments,Private debt,"Institutional DeFi exchange for bond and credit derivatives. Trade bonds electronically with unparalleled pre-trade transparency, automatic execution, instant settlement, and minimal transaction costs. Atomic Settlement: T-0 settlement with payment vs delivery systems; Rapid Execution; Blockhouse conducts FBA in one minute intervals, nearly 5 times faster than current venues; Flexible Deployment; Cross-chain access on private or permission-less systems; Post trade reporting; Automated post-trade workflows including regulatory reporting and reconciliation; Frictionless Liquidity.-Get access to instant funding markets via composable fixed income securities; Market Transparency - Real-time pricing with intra-day collateral valuation data",Waitlist,?,?,?,,2022,US (NY),,,https://blockhouse.capital/,https://twitter.com/Blockhouse_cap,,15/10/2023
Blocksquare,Tokenization platform ,,Real Estate,Real estate,"Businesses of all types — from startups to large enterprises — can use Blocksquare’s solutions and APIs to digitize value of real estate properties, launch their investment platforms and connect people to tokenized real estate deals online. Built on Ethereum and IPFS, any single real estate property can be converted into 100,000 tokens, either partially or in full, providing investors a transparent and standardised digitalisation process. What's more, it's applicable to any common legal ownership form.",Live,Non-custodial,Public,Ethereum,,,"SLO (Ljubliana), CH (Zug)",,,https://blocksquare.io/,https://twitter.com/blocksquare_io,-,15/11/2023
Blockstate,Tokenization platform ,,?,?,-,Dead,-,-,-,,,DE,,,https://www.blockstate.com,-,-,15/9/2023
Bloom,Investment platform,,Public Debt Instruments,Government bonds (short-term / US),"Mint or buy TBYs with USDC: Mint new TBYs at the beginning and middle of each month on Bloom. 

Use TBYs across DeFi. Collateralize with TBYs on Blueberry, with more integrations to come.

Redeem to get your yield. At the end of their 6 month maturity, bring your TBY back to Bloom to redeem your USDC.",Live,Non-custodial,Public,Ethereum,TBY,,,,"   

https://defillama.com/protocol/bloom",https://www.bloom.garden/,https://twitter.com/Blueberryfdn,https://discord.com/invite/blueberry,11/10/2023
Bluejay Finance,Investment platform,Tokenization platform,Private Debt Instruments,Private debt,"Brings Asian fixed income market onchain by making it more accessible through its suite of stablecoins.
Investors sign up via form. Till 24/08/23 157 ppl subscribed.Also sells bonds for its tokens: bluejay.finance/bonds
They KYC investors and require legal documents, proof of address, but also proof of income, like salary slips. ",Live,Non-custodial,Public,Ethereum,"$xSGD, $BLU, $bluSGD",2021,SG,,Need contract addresses: docs.bluejay.finance/technical-resources-earn/overview,https://www.bluejay.finance,https://twitter.com/BluejayFinance,,15/9/2023
Bondblox,Investment platform,,Public Debt Instruments,"Govenment bonds (long-term / non-US),Government bonds (long-term / US),Corporate bonds (US)","BondbloX simplifies bond investing by allowing investors to track & trade bonds electronically – just like stocks. Founded in 2016, we are a team of debt capital market bankers & technologists, spread across Singapore, India & Mexico, working to realise one vision: Provide easy access to bonds for all investors. The BondbloX Bond Exchange is the world’s first fractional bond exchange, regulated as a Recognised Market Operator by the Monetary Authority of Singapore. Our institutional investors include Citi and MassMutual Ventures and our global custodians are Citi & Northern Trust.

",Live,Custodial,Private,Hyperledger,,2016,,,,https://bondblox.com/,https://twitter.com/BondbloXBondE,,15/10/2023
Boson,Investment platform,,Collectibles and Alternatives,Collectibles,"Boson Protocol enables the tokenization, transfer and trade of any physical thing as a redeemable NFT. Decentralized commercial exchange: Boson is an efficient, optimistic fair-exchange protocol which enables the decentralized commercial exchange of any physical thing, without centralized intermediaries or trusted counterparties. Redeemable NFTs (rNFTs) can be thought of as forward contracts for physical things, programmed within smart contracts. rNFTs can be held, transferred or traded like any other NFT. Boson uses game theory and independent resolvers to provide the bearer of an rNFT with strong and credible assurance, that either they will be able to redeem the token for the physical thing or receive their money back. Token-gated commerce: Redeemable NFTs can be programmed for access only by wallets holding specific NFTs or having a minimum ERC20 balance. rNFTs can thus be programmed with superpowers, for example enabling play-to-buy (complete a quest) and hold-to-buy (own a PFP).",Live,Non-custodial,Public,Polygon,$BOSON,2019,,,,https://www.bosonprotocol.io/,https://twitter.com/BosonProtocol,https://discord.com/invite/5dRV7fWet2,26/11/2023
Bosonic,Assets CEX,"Broker dealer,Alternative trading system",- Asset-agnostic,"Private debt,Private equities",The Bosonic Network™ is the only non-custodial real-time clearing and settlement infrastructure for Institutional Digital Asset Trading. Bosonic Securities Receives Approval to Operate a Broker-Dealer and ATS for Digital Asset Securities in March'23. ,Live,"Non-custodial,Custodial",Public,?,,2015,US,,,https://www.bosonic.digital/,https://twitter.com/bosonic_digital,-,6/10/2023
Brale,Stablecoin-as-a-service,,Public Debt Instruments,Government bonds (long-term / US),Stablecoin issuance and tokenization platform that helps businesses create bespoke fiat-backed stablecoins and digital assets,Live,Non-custodial,Public,Multi-chain,,2022,,,,https://www.brale.xyz,https://twitter.com/brale_xyz,,15/9/2023
Brickken,Tokenization platform ,,Real Estate,Real estate,Enables fractional ownership of real estate via tokens. It also bridges real estate with decentralized finance for broader oppos.,Live,?,?,?,$BKN ,2020,ES (Barcelona),,Tokenized Value: + $ 200 M USD,https://www.brickken.com,https://twitter.com/brickken,https://discord.com/invite/m43zKP48Mc,15/9/2023
Brightvine,Tokenization infra ,,- Asset-agnostic,"Private debt,Real estate,Mortgage",Brightvine enables vetted issuers of high-quality real-world assets to connect with investors. It also uses blockchain to streamline the structured finance workflow. ,Closed beta,Custodial,?,-,,2020,US (SC),,,https://www.brightvine.com,https://twitter.com/brightvinetech,https://discord.com/invite/NsHHNYNwQt,15/9/2023
Broadridge,Transactions and settlement,,,,"Uses daml (private blockchain language designed to create tokenization platform). DLR uses the DAML smart contract language on the VMWare blockchain. So far, Broadridge is hosting all the client nodes as it already provides other technology services to these clients. ",Live,Custodial,Private,VMWare blockchain (Enterprise Ethereum),-,,US (NY),,,https://www.broadridge.com/financial-services/capital-markets/transform-trade-life-cycle/distributed-ledger-repo,https://twitter.com/broadridge,-,15/9/2023
Bru Finance,Credit protocol (asset-backed),,Sustainable and Responsible Investments,Agriculture,Bru offers fractional ESG bonds on the blockchain,Live,Non-custodial,Public,Polygon,,2022,IN,,$650 M of commodities tokenised (Twitter),https://www.bru.finance,https://twitter.com/bru_finance,https://discord.com/invite/8C9SZXDy2r,15/9/2023
BSOS Supplex,Trade financing ,Supply-chain financing,- Asset-agnostic,Energy commodities,"BSOS liquidizes the real-world assets from multi-industries with different types of capital providers by blockchain. We form the ecosystem, which leverages CeFi, DeFi and financial institutions to bring better asset liquidity and financing efficiency to every corporate.",Live,Custodial,Private,Consensys Quorum,-,2018,TW ,,"Total Corporations: 300+
Total Invoice Amount: $ 7,500,000
Total Financing Amount: $ 5,500,000
(https://www.bsos.co/suplex)",https://www.bsos.co,https://twitter.com/bsostech,-,19/9/2023
